KAYIT SIRA,ENDEKS KODU,ENDEKSLER,ENDEKSLERIN INGILIZCE ISIMLERI,KUR TURU,TARIH,KAPANIS,ACILIS,EN DUSUK,EN YUKSEK
1,XU100,BIST 100,BIST 100,TRY,30/10/2020,1112.37,1120.85,1095.72,1120.85
2,XU100_CFNPTLUS,BIST 100 (ABD DOLARI),BIST 100 (USD),USD,30/10/2020,779.11,779.11,779.11,779.11
3,XU100_CFNPTLER,BIST 100 (EURO),BIST 100 (EURO),EUR,30/10/2020,782.21,782.21,782.21,782.21
4,XU050,BIST 50,BIST 50,TRY,30/10/2020,1000.48,1001.47,986.53,1006.09
5,XU050_CFNPTLUS,BIST 50 (ABD DOLARI),BIST 50 (USD),USD,30/10/2020,700.74,700.74,700.74,700.74
6,XU050_CFNPTLER,BIST 50 (EURO),BIST 50 (EURO),EUR,30/10/2020,703.53,703.53,703.53,703.53
7,XU030,BIST 30,BIST 30,TRY,30/10/2020,1222.03,1231.35,1204.7,1231.35
8,XU030_CFNPTLUS,BIST 30 (ABD DOLARI),BIST 30 (USD),USD,30/10/2020,855.92,855.92,855.92,855.92
9,XU030_CFNPTLER,BIST 30 (EURO),BIST 30 (EURO),EUR,30/10/2020,859.33,859.33,859.33,859.33
10,XLBNK,BIST LIKIT BANKA,BIST LIQUID BANKS,TRY,30/10/2020,955.8,972.54,950.71,972.54
11,XLBNK_CFNPTLUS,BIST LIKIT BANKA (ABD DOLARI),BIST LIQUID BANKS (USD),USD,30/10/2020,669.44,669.44,669.44,669.44
12,XLBNK_CFNPTLER,BIST LIKIT BANKA (EURO),BIST LIQUID BANKS (EURO),EUR,30/10/2020,672.11,672.11,672.11,672.11
13,X10XB,BIST BANKA DISI LIKIT 10,BIST LIQUID 10 EX BANKS,TRY,30/10/2020,1391.83,1405.75,1376.02,1405.75
14,X10XB_CFNPTLUS,BIST BANKA DISI LIKIT 10 (ABD DOLARI),BIST LIQUID 10 EX BANKS (USD),USD,30/10/2020,974.84,974.84,974.84,974.84
15,X10XB_CFNPTLER,BIST BANKA DISI LIKIT 10 (EURO),BIST LIQUID 10 EX BANKS (EURO),EUR,30/10/2020,978.73,978.73,978.73,978.73
16,XUTUM,BIST TUM,BIST ALL SHARES,TRY,30/10/2020,1285.09,1284.81,1266.73,1295.01
17,XUTUM_CFNPTLUS,BIST TUM (ABD DOLARI),BIST ALL SHARES (USD),USD,30/10/2020,900.08,900.08,900.08,900.08
18,XUTUM_CFNPTLER,BIST TUM (EURO),BIST ALL SHARES (EURO),EUR,30/10/2020,903.67,903.67,903.67,903.67
19,XYUZO,BIST 100-30,BIST 100-30,TRY,30/10/2020,2000.75,1994.45,1966.18,2021.85
20,XYUZO_CFNPTLUS,BIST 100-30 (ABD DOLARI),BIST 100-30 (USD),USD,30/10/2020,1401.33,1401.33,1401.33,1401.33
21,XYUZO_CFNPTLER,BIST 100-30 (EURO),BIST 100-30 (EURO),EUR,30/10/2020,1406.92,1406.92,1406.92,1406.92
22,XTUMY,BIST TUM-100,BIST ALL SHARES-100,TRY,30/10/2020,4000.91,4006.23,3953.96,4063.54
23,XTUMY_CFNPTLUS,BIST TUM-100 (ABD DOLARI),BIST ALL SHARES-100 (USD),USD,30/10/2020,2802.26,2802.26,2802.26,2802.26
24,XTUMY_CFNPTLER,BIST TUM-100 (EURO),BIST ALL SHARES-100 (EURO),EUR,30/10/2020,2813.42,2813.42,2813.42,2813.42
25,X100S,BIST 100 AGIRLIK SINIRLAMALI 10,BIST 100 CAPPED 10,TRY,30/10/2020,1112.59,1111.92,1095.94,1118.99
26,X100S_CFCPTLUS,BIST 100 AGIRLIK SINIRLAMALI 10 (ABD DOLARI),BIST 100 CAPPED 10 (USD),USD,30/10/2020,779.26,779.26,779.26,779.26
27,X100S_CFCPTLER,BIST 100 AGIRLIK SINIRLAMALI 10 (EURO),BIST 100 CAPPED 10 (EURO),EUR,30/10/2020,782.37,782.37,782.37,782.37
28,X100C,BIST 100 AGIRLIK SINIRLAMALI 25,BIST 100 CAPPED 25,TRY,30/10/2020,1112.37,1111.7,1095.72,1118.77
29,X100C_CFCPTLUS,BIST 100 AGIRLIK SINIRLAMALI 25 (ABD DOLARI),BIST 100 CAPPED 25 (USD),USD,30/10/2020,779.11,779.11,779.11,779.11
30,X100C_CFCPTLER,BIST 100 AGIRLIK SINIRLAMALI 25 (EURO),BIST 100 CAPPED 25 (EURO),EUR,30/10/2020,782.21,782.21,782.21,782.21
31,X030S,BIST 30 AGIRLIK SINIRLAMALI 10,BIST 30 CAPPED 10,TRY,30/10/2020,1228.62,1228.17,1210.61,1232.95
32,X030S_CFCPTLUS,BIST 30 AGIRLIK SINIRLAMALI 10 (ABD DOLARI),BIST 30 CAPPED 10 (USD),USD,30/10/2020,860.53,860.53,860.53,860.53
33,X030S_CFCPTLER,BIST 30 AGIRLIK SINIRLAMALI 10 (EURO),BIST 30 CAPPED 10 (EURO),EUR,30/10/2020,863.96,863.96,863.96,863.96
34,X030C,BIST 30 AGIRLIK SINIRLAMALI 25,BIST 30 CAPPED 25,TRY,30/10/2020,1222.03,1222.55,1204.75,1226.9
35,X030C_CFCPTLUS,BIST 30 AGIRLIK SINIRLAMALI 25 (ABD DOLARI),BIST 30 CAPPED 25 (USD),USD,30/10/2020,855.92,855.92,855.92,855.92
36,X030C_CFCPTLER,BIST 30 AGIRLIK SINIRLAMALI 25 (EURO),BIST 30 CAPPED 25 (EURO),EUR,30/10/2020,859.33,859.33,859.33,859.33
37,XYLDZ,BIST YILDIZ,BIST STARS,TRY,30/10/2020,1147.36,1146.36,1130.19,1153.99
38,XYLDZ_CFNPTLUS,BIST YILDIZ (ABD DOLARI),BIST STARS (USD),USD,30/10/2020,803.61,803.61,803.61,803.61
39,XYLDZ_CFNPTLER,BIST YILDIZ (EURO),BIST STARS (EURO),EUR,30/10/2020,806.82,806.82,806.82,806.82
40,XBANA,BIST ANA,BIST MAIN,TRY,30/10/2020,4688.2,4699.82,4628,4776.91
41,XBANA_CFNPTLUS,BIST ANA (ABD DOLARI),BIST MAIN (USD),USD,30/10/2020,3283.64,3283.64,3283.64,3283.64
42,XBANA_CFNPTLER,BIST ANA (EURO),BIST MAIN (EURO),EUR,30/10/2020,3296.72,3296.72,3296.72,3296.72
43,XHARZ,BIST HALKA ARZ,BIST IPO,TRY,30/10/2020,4956.05,4908.22,4876.26,5055.75
44,XHARZ_CFCPTLUS,BIST HALKA ARZ (ABD DOLARI),BIST IPO (USD),USD,30/10/2020,3471.24,3471.24,3471.24,3471.24
45,XHARZ_CFCPTLER,BIST HALKA ARZ (EURO),BIST IPO (EURO),EUR,30/10/2020,3485.07,3485.07,3485.07,3485.07
46,XKOBI,BIST KOBI SANAYI,BIST SME INDUSTRIAL,TRY,30/10/2020,4838.12,4851.59,4781.67,4960.6
47,XKOBI_CFNPTLUS,BIST KOBI SANAYI (ABD DOLARI),BIST SME INDUSTRIAL (USD),USD,30/10/2020,3388.64,3388.64,3388.64,3388.64
48,XKOBI_CFNPTLER,BIST KOBI SANAYI (EURO),BIST SME INDUSTRIAL (EURO),EUR,30/10/2020,3402.15,3402.15,3402.15,3402.15
49,XTMTU,BIST TEMETTU,BIST DIVIDEND,TRY,30/10/2020,1243.29,1237.82,1223.75,1246.41
50,XTMTU_CFNPTLUS,BIST TEMETTU (ABD DOLARI),BIST DIVIDEND (USD),USD,30/10/2020,870.81,870.81,870.81,870.81
51,XTMTU_CFNPTLER,BIST TEMETTU (EURO),BIST DIVIDEND (EURO),EUR,30/10/2020,874.28,874.28,874.28,874.28
52,XTM25,BIST TEMETTU 25,BIST DIVIDEND 25,TRY,30/10/2020,1509.02,1481.35,1465.59,1509.02
53,XTM25_CFNPTLUS,BIST TEMETTU 25 (ABD DOLARI),BIST DIVIDEND 25 (USD),USD,30/10/2020,1056.93,1056.93,1056.93,1056.93
54,XTM25_CFNPTLER,BIST TEMETTU 25 (EURO),BIST DIVIDEND 25 (EURO),EUR,30/10/2020,1061.14,1061.14,1061.14,1061.14
55,XKURY,BIST KURUMSAL YONETIM,BIST CORPORATE GOVERNANCE,TRY,30/10/2020,933.37,928.44,917.1,936.83
56,XKURY_CFNPTLUS,BIST KURUMSAL YONETIM (ABD DOLARI),BIST CORPORATE GOVERNANCE (USD),USD,30/10/2020,653.73,653.73,653.73,653.73
57,XKURY_CFNPTLER,BIST KURUMSAL YONETIM (EURO),BIST CORPORATE GOVERNANCE (EURO),EUR,30/10/2020,656.34,656.34,656.34,656.34
58,XUSRD,BIST SURDURULEBILIRLIK,BIST SUSTAINABILITY,TRY,30/10/2020,1275.69,1268.14,1252.77,1279.18
59,XUSRD_CFCPTLUS,BIST SURDURULEBILIRLIK (ABD DOLARI),BIST SUSTAINABILITY (USD),USD,30/10/2020,893.5,893.5,893.5,893.5
60,XUSRD_CFCPTLER,BIST SURDURULEBILIRLIK (EURO),BIST SUSTAINABILITY (EURO),EUR,30/10/2020,897.06,897.06,897.06,897.06
61,XUSIN,BIST SINAI,BIST INDUSTRIALS,TRY,30/10/2020,1729.44,1725.67,1690.21,1737.84
62,XUSIN_CFNPTLUS,BIST SINAI (ABD DOLARI),BIST INDUSTRIALS (USD),USD,30/10/2020,1211.31,1211.31,1211.31,1211.31
63,XUSIN_CFNPTLER,BIST SINAI (EURO),BIST INDUSTRIALS (EURO),EUR,30/10/2020,1216.14,1216.14,1216.14,1216.14
64,XGIDA,BIST GIDA ICECEK,BIST FOOD BEVERAGE,TRY,30/10/2020,1748.69,1773.89,1748.31,1799.34
65,XGIDA_CFNPTLUS,BIST GIDA ICECEK (ABD DOLARI),BIST FOOD BEVERAGE (USD),USD,30/10/2020,1224.79,1224.79,1224.79,1224.79
66,XGIDA_CFNPTLER,BIST GIDA ICECEK (EURO),BIST FOOD BEVERAGE (EURO),EUR,30/10/2020,1229.67,1229.67,1229.67,1229.67
